Столбец1;Столбец2;Столбец3;Столбец4;Столбец5;Столбец6;Столбец7;Столбец8;Столбец9;Столбец10;Столбец11;Столбец12;score
'min_child_weight': 2.0; 'n_estimators': 793.0; 'silent': 1; 'nthread': 6; 'gamma': 0.75; 'max_depth': 4; 'eta': 0.35000000000000003; 'subsample': 0.5; 'num_class': 5; 'colsample_bytree': 1.0; 'eval_metric': 'mlogloss'; 'objective': 'multi:softmax';0.559694364851958
'min_child_weight': 6.0; 'n_estimators': 559.0; 'silent': 1; 'nthread': 6; 'gamma': 1.0; 'max_depth': 12; 'eta': 0.275; 'subsample': 1.0; 'num_class': 5; 'colsample_bytree': 0.55; 'eval_metric': 'mlogloss'; 'objective': 'multi:softmax';0.5587392550143266
'min_child_weight': 1.0; 'n_estimators': 440.0; 'silent': 1; 'nthread': 6; 'gamma': 0.6000000000000001; 'max_depth': 12; 'eta': 0.25; 'subsample': 0.55; 'num_class': 5; 'colsample_bytree': 0.55; 'eval_metric': 'mlogloss'; 'objective': 'multi:softmax';0.5587392550143266
'min_child_weight': 3.0; 'n_estimators': 305.0; 'silent': 1; 'nthread': 6; 'gamma': 0.8; 'max_depth': 5; 'eta': 0.45; 'subsample': 0.6000000000000001; 'num_class': 5; 'colsample_bytree': 0.6000000000000001; 'eval_metric': 'mlogloss'; 'objective': 'multi:softmax';0.5587392550143266
'min_child_weight': 1.0; 'n_estimators': 171.0; 'silent': 1; 'nthread': 6; 'gamma': 0.9500000000000001; 'max_depth': 8; 'eta': 0.2; 'subsample': 0.6000000000000001; 'num_class': 5; 'colsample_bytree': 0.5; 'eval_metric': 'mlogloss'; 'objective': 'multi:softmax';0.5587392550143266
'min_child_weight': 3.0; 'n_estimators': 634.0; 'silent': 1; 'nthread': 6; 'gamma': 0.6000000000000001; 'max_depth': 6; 'eta': 0.325; 'subsample': 1.0; 'num_class': 5; 'colsample_bytree': 0.55; 'eval_metric': 'mlogloss'; 'objective': 'multi:softmax';0.5577841451766953
'min_child_weight': 3.0; 'n_estimators': 207.0; 'silent': 1; 'nthread': 6; 'gamma': 0.75; 'max_depth': 7; 'eta': 0.325; 'subsample': 0.8; 'num_class': 5; 'colsample_bytree': 0.8500000000000001; 'eval_metric': 'mlogloss'; 'objective': 'multi:softmax';0.556829035339064
'min_child_weight': 2.0; 'n_estimators': 566.0; 'silent': 1; 'nthread': 6; 'gamma': 0.65; 'max_depth': 5; 'eta': 0.42500000000000004; 'subsample': 0.6000000000000001; 'num_class': 5; 'colsample_bytree': 0.7000000000000001; 'eval_metric': 'mlogloss'; 'objective': 'multi:softmax';0.556829035339064
'min_child_weight': 1.0; 'n_estimators': 282.0; 'silent': 1; 'nthread': 6; 'gamma': 0.75; 'max_depth': 5; 'eta': 0.4; 'subsample': 0.75; 'num_class': 5; 'colsample_bytree': 0.8500000000000001; 'eval_metric': 'mlogloss'; 'objective': 'multi:softmax';0.556829035339064
'min_child_weight': 4.0; 'n_estimators': 237.0; 'silent': 1; 'nthread': 6; 'gamma': 0.8500000000000001; 'max_depth': 1; 'eta': 0.4; 'subsample': 0.65; 'num_class': 5; 'colsample_bytree': 0.75; 'eval_metric': 'mlogloss'; 'objective': 'multi:softmax';0.556829035339064
'min_child_weight': 2.0; 'n_estimators': 265.0; 'silent': 1; 'nthread': 6; 'gamma': 0.65; 'max_depth': 12; 'eta': 0.05; 'subsample': 0.75; 'num_class': 5; 'colsample_bytree': 0.55; 'eval_metric': 'mlogloss'; 'objective': 'multi:softmax';0.5558739255014327
'min_child_weight': 6.0; 'n_estimators': 794.0; 'silent': 1; 'nthread': 6; 'gamma': 0.9500000000000001; 'max_depth': 12; 'eta': 0.225; 'subsample': 0.9500000000000001; 'num_class': 5; 'colsample_bytree': 0.8; 'eval_metric': 'mlogloss'; 'objective': 'multi:softmax';0.5558739255014327
'min_child_weight': 1.0; 'n_estimators': 153.0; 'silent': 1; 'nthread': 6; 'gamma': 0.7000000000000001; 'max_depth': 4; 'eta': 0.325; 'subsample': 0.65; 'num_class': 5; 'colsample_bytree': 0.5; 'eval_metric': 'mlogloss'; 'objective': 'multi:softmax';0.5558739255014327
'min_child_weight': 2.0; 'n_estimators': 642.0; 'silent': 1; 'nthread': 6; 'gamma': 0.8; 'max_depth': 10; 'eta': 0.17500000000000002; 'subsample': 0.55; 'num_class': 5; 'colsample_bytree': 0.8500000000000001; 'eval_metric': 'mlogloss'; 'objective': 'multi:softmax';0.5558739255014327
'min_child_weight': 1.0; 'n_estimators': 187.0; 'silent': 1; 'nthread': 6; 'gamma': 0.8500000000000001; 'max_depth': 9; 'eta': 0.47500000000000003; 'subsample': 0.55; 'num_class': 5; 'colsample_bytree': 0.5; 'eval_metric': 'mlogloss'; 'objective': 'multi:softmax';0.5558739255014327
'min_child_weight': 5.0; 'n_estimators': 427.0; 'silent': 1; 'nthread': 6; 'gamma': 0.65; 'max_depth': 10; 'eta': 0.325; 'subsample': 0.9; 'num_class': 5; 'colsample_bytree': 0.7000000000000001; 'eval_metric': 'mlogloss'; 'objective': 'multi:softmax';0.5549188156638013
